,index,stop_id,trip_id,arrival_time,departure_time,stop_sequence,shape_dist_traveled,data_versao,stop_name,latitude,longitude,posicao
0,0,3083BC0002P2,B0041AAF0AIDU01,00:00:00,00:00:00,1,0,2022-03-16,Terminal Paulo da Portela :: Embarque (BRT),-22.877670000000002,-43.33682,POINT (-43.33682 -22.87767)
1,1,3083BC0001U2,B0041AAF0AIDU01,00:01:30,00:01:30,2,720,2022-03-16,Campinho,-22.88212,-43.34194,POINT (-43.34194 -22.88212)
2,2,4124BC0002X2,B0041AAF0AIDU01,00:05:38,00:05:38,3,2705,2022-03-16,Praça Seca,-22.89741,-43.35204,POINT (-43.35204 -22.89741)
3,3,4123BC0001X2,B0041AAF0AIDU01,00:10:11,00:10:11,4,4890,2022-03-16,Tanque,-22.915229999999998,-43.3612,POINT (-43.3612 -22.91523)
4,4,4122BC0192X2,B0041AAF0AIDU01,00:13:33,00:13:33,5,6504,2022-03-16,Taquara,-22.92377,-43.37396,POINT (-43.37396 -22.92377)
5,5,4122BC0002X2,B0041AAF0AIDU01,00:16:33,00:16:33,6,7945,2022-03-16,Santa Efigênia,-22.93664,-43.37184,POINT (-43.37184 -22.93664)
6,6,4119BC0051U1,B0041AAF0AIDU01,00:23:01,00:23:01,7,11053,2022-03-16,Curicica,-22.959866713322835,-43.38886582163086,POINT (-43.38886582163086 -22.95986671332284)
7,7,4115BL0003U2,B0041AAF0AIDU01,00:24:19,00:24:19,8,11672,2022-03-16,Asa Branca,-22.96315,-43.39376,POINT (-43.39376 -22.96315)
8,8,4115BL0001X2,B0041AAF0AIDU01,00:26:30,00:26:30,9,12721,2022-03-16,Morro do Outeiro,-22.97036,-43.4004,POINT (-43.4004 -22.97036)
9,9,4128BL0003U2,B0041AAF0AIDU01,00:28:29,00:28:29,10,13677,2022-03-16,Riocentro,-22.97692,-43.40647,POINT (-43.40647 -22.97692)
10,10,4128BL0002U2,B0041AAF0AIDU01,00:29:52,00:29:52,11,14339,2022-03-16,Olof Palme,-22.98177,-43.41026,POINT (-43.41026 -22.98177)
11,11,4132BL0001P2,B0041AAF0AIDU01,00:38:46,00:38:46,12,18608,2022-03-16,Terminal Paralímpico (Recreio) :: Plataforma Norte,-23.00838950133272,-43.44042463558197,POINT (-43.44042463558197 -23.00838950133272)
12,12,3083BC0002P2,B0041AAF0AIDU01,00:00:00,00:00:00,1,0,2022-03-17,Terminal Paulo da Portela :: Embarque (BRT),-22.877670000000002,-43.33682,POINT (-43.33682 -22.87767)
13,13,3083BC0001U2,B0041AAF0AIDU01,00:01:30,00:01:30,2,720,2022-03-17,Campinho,-22.88212,-43.34194,POINT (-43.34194 -22.88212)
14,14,4124BC0002X2,B0041AAF0AIDU01,00:05:38,00:05:38,3,2705,2022-03-17,Praça Seca,-22.89741,-43.35204,POINT (-43.35204 -22.89741)
15,15,4123BC0001X2,B0041AAF0AIDU01,00:10:11,00:10:11,4,4890,2022-03-17,Tanque,-22.915229999999998,-43.3612,POINT (-43.3612 -22.91523)
16,16,4122BC0192X2,B0041AAF0AIDU01,00:13:33,00:13:33,5,6504,2022-03-17,Taquara,-22.92377,-43.37396,POINT (-43.37396 -22.92377)
17,17,4122BC0002X2,B0041AAF0AIDU01,00:16:33,00:16:33,6,7945,2022-03-17,Santa Efigênia,-22.93664,-43.37184,POINT (-43.37184 -22.93664)
18,18,4119BC0051U1,B0041AAF0AIDU01,00:23:01,00:23:01,7,11053,2022-03-17,Curicica,-22.959866713322835,-43.38886582163086,POINT (-43.38886582163086 -22.95986671332284)
19,19,4115BL0003U2,B0041AAF0AIDU01,00:24:19,00:24:19,8,11672,2022-03-17,Asa Branca,-22.96315,-43.39376,POINT (-43.39376 -22.96315)
20,20,4115BL0001X2,B0041AAF0AIDU01,00:26:30,00:26:30,9,12721,2022-03-17,Morro do Outeiro,-22.97036,-43.4004,POINT (-43.4004 -22.97036)
21,21,4128BL0003U2,B0041AAF0AIDU01,00:28:29,00:28:29,10,13677,2022-03-17,Riocentro,-22.97692,-43.40647,POINT (-43.40647 -22.97692)
22,22,4128BL0002U2,B0041AAF0AIDU01,00:29:52,00:29:52,11,14339,2022-03-17,Olof Palme,-22.98177,-43.41026,POINT (-43.41026 -22.98177)
23,23,4132BL0001P2,B0041AAF0AIDU01,00:38:46,00:38:46,12,18608,2022-03-17,Terminal Paralímpico (Recreio) :: Plataforma Norte,-23.00838950133272,-43.44042463558197,POINT (-43.44042463558197 -23.00838950133272)
