longitude,latitude,vei_nro_gestor,direcao,velocidade,inicio_viagem,linha,nomeLinha,nomeItinerario,comunicacao
-43.372228,-22.945537,12738,3,59,2022-08-04 09:55:37,41,MADUREIRA X TERMINAL RECREIO (EXPRESSO),ITI IDA - 41 MADUREIRA X TERMINAL RECREIO (EXPRESSO),2022-08-04 10:22:51
-43.317225,-23.006145,47032,6,0,2022-08-04 09:52:29,53B,TERMINAL SULACAP X JARDIM OCEANICO (PARADOR),ITI VOLTA - 53B TERMINAL SULACAP X JARDIM OCEANICO (PARADOR),2022-08-04 10:22:37
-43.683445,-22.916787,12721,2,48,2022-08-04 09:59:49,10,SANTA CRUZ X ALVORADA (EXPRESSO),ITI VOLTA - 10 SANTA CRUZ X ALVORADA (EXPRESSO),2022-08-04 10:22:58
-43.498142,-23.020987,86863,2,55,2022-08-04 09:46:28,12,PINGO DAGUA X ALVORADA (EXPRESSO),ITI IDA - 12 PINGO D`AGUA X ALVORADA (EXPRESSO),2022-08-04 10:23:01
-43.384355,-22.97328,13421,2,41,2022-08-04 08:22:27,35A,MADUREIRA X JARDIM OCEANICO (PARADOR),ITI VOLTA - 35A MADUREIRA X JARDIM OCEANICO (PARADOR),2022-08-04 10:22:42
-43.596955,-22.993562,30519,4,0,2022-08-04 07:22:15,25A,MATO ALTO X ALVORADA (PARADOR),ITI VOLTA - 25A MATO ALTO X ALVORADA (PARADOR),2022-08-04 10:22:55
-43.40537,-22.976705,30508,7,0,2022-08-04 09:13:51,9999,LINHA TREINAMENTO BRT,Iti Default,2022-08-04 10:22:53
-43.512222,-23.017445,12736,2,44,2022-08-04 09:56:02,25A,MATO ALTO X ALVORADA (PARADOR),ITI IDA - 25A MATO ALTO X ALVORADA (PARADOR),2022-08-04 10:22:47
-43.36599,-23.00136,12702,7,0,2022-08-04 09:21:34,46,PENHA X ALVORADA (EXPRESSO),ITI IDA - 46 PENHA X ALVORADA (EXPRESSO),2022-08-04 10:22:47
-43.370637,-22.921653,12731,5,34,2022-08-04 09:39:48,46,PENHA X ALVORADA (EXPRESSO),ITI IDA - 46 PENHA X ALVORADA (EXPRESSO),2022-08-04 10:22:41
-43.276613,-22.841963,12715,7,0,2022-08-04 09:58:37,42A,GALEAO X MADUREIRA (PARADOR),ITI VOLTA - 42A GALEAO X MADUREIRA (PARADOR),2022-08-04 10:23:03
-43.312608,-23.006505,30514,5,0,2022-08-04 10:20:01,22,TERMINAL ALVORADA X TERMINAL JARDIM OCEÂNICO (PARADOR),ITI VOLTA -  22 TERMINAL ALVORADA X TERMINAL JARDIM OCEÂNICO (PARADOR),2022-08-04 10:22:36
-43.313862,-23.006705,13401,6,0,2022-08-04 09:53:00,53B,TERMINAL SULACAP X JARDIM OCEANICO (PARADOR),ITI VOLTA - 53B TERMINAL SULACAP X JARDIM OCEANICO (PARADOR),2022-08-04 10:22:37
-43.56962,-23.002698,86874,2,61,2022-08-04 09:44:42,10,SANTA CRUZ X ALVORADA (EXPRESSO),ITI IDA - 10 SANTA CRUZ X ALVORADA (EXPRESSO),2022-08-04 10:22:43
-43.352213,-22.89759,30536,4,0,2022-08-04 09:54:40,41,MADUREIRA X TERMINAL RECREIO (EXPRESSO),ITI IDA - 41 MADUREIRA X TERMINAL RECREIO (EXPRESSO),2022-08-04 10:22:49
-43.425475,-23.003478,47006,1,0,2022-08-04 09:47:48,12,PINGO DAGUA X ALVORADA (EXPRESSO),ITI VOLTA - 12 PINGO D`AGUA X ALVORADA (EXPRESSO),2022-08-04 10:22:33
-43.318162,-23.005797,30506,2,48,2022-08-04 05:23:23,22,TERMINAL ALVORADA X TERMINAL JARDIM OCEÂNICO (PARADOR),ITI IDA - 22 TERMINAL ALVORADA X TERMINAL JARDIM OCEÂNICO (PARADOR),2022-08-04 10:22:50
-43.365598,-23.000618,47017,1,0,2022-08-04 08:14:11,40A,ALVORADA X MADUREIRA (EXPRESSO),ITI VOLTA - 40A ALVORADA X MADUREIRA (EXPRESSO),2022-08-04 10:22:58
-43.365122,-23.000608,30511,7,0,2022-08-04 05:42:36,22,TERMINAL ALVORADA X TERMINAL JARDIM OCEÂNICO (PARADOR),ITI IDA - 22 TERMINAL ALVORADA X TERMINAL JARDIM OCEÂNICO (PARADOR),2022-08-04 10:22:47
-43.366755,-23.000822,12733,2,14,2022-08-04 09:18:42,10,SANTA CRUZ X ALVORADA (EXPRESSO),ITI IDA - 10 SANTA CRUZ X ALVORADA (EXPRESSO),2022-08-04 10:23:03
-43.366638,-23.001045,86859,6,0,2022-08-04 09:07:23,25A,MATO ALTO X ALVORADA (PARADOR),ITI IDA - 25A MATO ALTO X ALVORADA (PARADOR),2022-08-04 10:22:43
-43.372193,-22.93437,90003,7,26,2022-08-04 09:56:46,46,PENHA X ALVORADA (EXPRESSO),ITI VOLTA - 46 PENHA X ALVORADA (EXPRESSO),2022-08-04 10:22:54
-43.367812,-23.000707,13425,3,0,2022-08-04 10:04:24,46,PENHA X ALVORADA (EXPRESSO),ITI IDA - 46 PENHA X ALVORADA (EXPRESSO),2022-08-04 10:22:53
-43.386298,-22.853178,47011,0,40,2022-08-04 10:19:51,51,VILA MILITAR X TERMINAL RECREIO (PARADOR),ITI VOLTA - 51 VILA MILITAR X TERMINAL RECREIO (PARADOR),2022-08-04 10:22:52
-43.239482,-22.839873,12716,3,0,2022-08-04 09:01:41,42A,GALEAO X MADUREIRA (PARADOR),ITI VOLTA - 42A GALEAO X MADUREIRA (PARADOR),2022-08-04 10:22:58
-43.587862,-22.998263,12720,6,59,2022-08-04 09:50:09,10,SANTA CRUZ X ALVORADA (EXPRESSO),ITI VOLTA - 10 SANTA CRUZ X ALVORADA (EXPRESSO),2022-08-04 10:22:48
-43.365265,-23.000652,12739,5,0,2022-08-04 08:52:19,10,SANTA CRUZ X ALVORADA (EXPRESSO),ITI IDA - 10 SANTA CRUZ X ALVORADA (EXPRESSO),2022-08-04 10:22:43
-43.342962,-23.000372,47007,2,0,2022-08-04 10:12:14,22,TERMINAL ALVORADA X TERMINAL JARDIM OCEÂNICO (PARADOR),ITI VOLTA -  22 TERMINAL ALVORADA X TERMINAL JARDIM OCEÂNICO (PARADOR),2022-08-04 10:22:50
