,index,stop_id,trip_id,arrival_time,departure_time,stop_sequence,shape_dist_traveled,data_versao,stop_name,latitude,longitude,posicao
0,0,4132BO0003U1,B0018AAF0AIDU01,00:00:00,00:00:00,1,0,2022-04-16,Notre Dame,-23.02065,-43.50016,POINT (-43.50016 -23.02065)
1,1,4132BO0005X1,B0018AAF0AIDU01,00:02:40,00:02:40,2,1284,2022-04-16,Recreio Shopping,-23.01979,-43.48766,POINT (-43.48766 -23.01979)
2,2,4132BO0007U1,B0018AAF0AIDU01,00:05:03,00:05:03,3,2427,2022-04-16,Gilka Machado,-23.017020000000002,-43.47691,POINT (-43.47691 -23.01702)
3,3,4132BO0008U1,B0018AAF0AIDU01,00:06:16,00:06:16,4,3011,2022-04-16,Nova Barra,-23.015639999999998,-43.47141,POINT (-43.47141 -23.01564)
4,4,4132BO0010X1,B0018AAF0AIDU01,00:08:57,00:08:57,5,4300,2022-04-16,Gláucio Gil,-23.012539999999998,-43.45928,POINT (-43.45928 -23.01254)
5,5,4132BO0013U1,B0018AAF0AIDU01,00:12:43,00:12:43,6,6111,2022-04-16,Salvador Allende,-23.00819,-43.44225,POINT (-43.44225 -23.00819)
6,6,4128BO0216U2,B0018AAF0AIDU01,00:24:06,00:24:06,7,11574,2022-04-16,Américas Park,-23.00046933557426,-43.38961203019338,POINT (-43.38961203019338 -23.00046933557426)
7,7,4128BO0218U2,B0018AAF0AIDU01,00:25:31,00:25:31,8,12251,2022-04-16,Novo Leblon,-23.000458847108817,-43.38300405371413,POINT (-43.38300405371413 -23.00045884710882)
8,8,4128BO0011U1,B0018AAF0AIDU01,00:30:09,00:30:09,9,14476,2022-04-16,Barra Shopping (Parador),-23.000020000000003,-43.3613,POINT (-43.3613 -23.00002)
9,9,4128BO0013U1,B0018AAF0AIDU01,00:32:02,00:32:02,10,15379,2022-04-16,Parque das Rosas,-23.00011,-43.35249,POINT (-43.35249 -23.00011)
10,10,4128BO0018X1,B0018AAF0AIDU01,00:38:23,00:38:23,11,18425,2022-04-16,Bosque Marapendi,-23.003729999999997,-43.323029999999996,POINT (-43.32303 -23.00373)
11,11,4128BO0019P1,B0018AAF0AIDU01,00:40:44,00:40:44,12,19559,2022-04-16,Jardim Oceânico,-23.00675,-43.312459999999994,POINT (-43.31245999999999 -23.00675)
12,12,4132BO0003U1,B0018AAF0AIDU01,00:00:00,00:00:00,1,0,2022-04-17,Notre Dame,-23.02065,-43.50016,POINT (-43.50016 -23.02065)
13,13,4132BO0005X1,B0018AAF0AIDU01,00:02:40,00:02:40,2,1284,2022-04-17,Recreio Shopping,-23.01979,-43.48766,POINT (-43.48766 -23.01979)
14,14,4132BO0007U1,B0018AAF0AIDU01,00:05:03,00:05:03,3,2427,2022-04-17,Gilka Machado,-23.017020000000002,-43.47691,POINT (-43.47691 -23.01702)
15,15,4132BO0008U1,B0018AAF0AIDU01,00:06:16,00:06:16,4,3011,2022-04-17,Nova Barra,-23.015639999999998,-43.47141,POINT (-43.47141 -23.01564)
16,16,4132BO0010X1,B0018AAF0AIDU01,00:08:57,00:08:57,5,4300,2022-04-17,Gláucio Gil,-23.012539999999998,-43.45928,POINT (-43.45928 -23.01254)
17,17,4132BO0013U1,B0018AAF0AIDU01,00:12:43,00:12:43,6,6111,2022-04-17,Salvador Allende,-23.00819,-43.44225,POINT (-43.44225 -23.00819)
18,18,4128BO0216U2,B0018AAF0AIDU01,00:24:06,00:24:06,7,11574,2022-04-17,Américas Park,-23.00046933557426,-43.38961203019338,POINT (-43.38961203019338 -23.00046933557426)
19,19,4128BO0218U2,B0018AAF0AIDU01,00:25:31,00:25:31,8,12251,2022-04-17,Novo Leblon,-23.000458847108817,-43.38300405371413,POINT (-43.38300405371413 -23.00045884710882)
20,20,4128BO0011U1,B0018AAF0AIDU01,00:30:09,00:30:09,9,14476,2022-04-17,Barra Shopping (Parador),-23.000020000000003,-43.3613,POINT (-43.3613 -23.00002)
