,index,stop_id,trip_id,arrival_time,departure_time,stop_sequence,shape_dist_traveled,data_versao,stop_name,latitude,longitude,posicao
0,0,3043BC0003X2,B0046AAF0AIDU01,00:00:00,00:00:00,1,0,2022-04-16,Penha I,-22.84186,-43.27746,POINT (-43.27746 -22.84186)
1,1,3073BC0002X2,B0046AAF0AIDU01,00:08:00,00:08:00,2,3845,2022-04-16,Vicente de Carvalho,-22.85281,-43.31302,POINT (-43.31302 -22.85281)
2,2,3083BC0004U2,B0046AAF0AIDU01,00:14:17,00:14:17,3,6857,2022-04-16,Mercadão de Madureira,-22.87021,-43.33558,POINT (-43.33558 -22.87021)
3,3,3083BC0003X2,B0046AAF0AIDU01,00:15:48,00:15:48,4,7589,2022-04-16,Madureira / Manaceia,-22.876820000000002,-43.33587,POINT (-43.33587 -22.87682)
4,4,3083BC0001U2,B0046AAF0AIDU01,00:17:35,00:17:35,5,8444,2022-04-16,Campinho,-22.88212,-43.34194,POINT (-43.34194 -22.88212)
5,5,4124BC0002X2,B0046AAF0AIDU01,00:21:43,00:21:43,6,10429,2022-04-16,Praça Seca,-22.89741,-43.35204,POINT (-43.35204 -22.89741)
6,6,4123BC0001X2,B0046AAF0AIDU01,00:26:16,00:26:16,7,12614,2022-04-16,Tanque,-22.915229999999998,-43.3612,POINT (-43.3612 -22.91523)
7,7,4122BC0192X2,B0046AAF0AIDU01,00:29:38,00:29:38,8,14228,2022-04-16,Taquara,-22.92377,-43.37396,POINT (-43.37396 -22.92377)
8,8,4122BC0002X2,B0046AAF0AIDU01,00:32:38,00:32:38,9,15669,2022-04-16,Santa Efigênia,-22.93664,-43.37184,POINT (-43.37184 -22.93664)
9,9,4128BC0004X2,B0046AAF0AIDU01,00:41:23,00:41:23,10,19867,2022-04-16,Rio 2,-22.97328,-43.38234,POINT (-43.38234 -22.97328)
10,10,4128BO0226P2,B0046AAF0AIDU01,00:48:37,00:48:37,11,23339,2022-04-16,Terminal Alvorada :: Plataforma B (Desembarque),-23.001296303606267,-43.367123534465726,POINT (-43.36712353446573 -23.00129630360627)
11,11,3043BC0003X2,B0046AAF0AIDU01,00:00:00,00:00:00,1,0,2022-04-17,Penha I,-22.84186,-43.27746,POINT (-43.27746 -22.84186)
12,12,3073BC0002X2,B0046AAF0AIDU01,00:08:00,00:08:00,2,3845,2022-04-17,Vicente de Carvalho,-22.85281,-43.31302,POINT (-43.31302 -22.85281)
13,13,3083BC0004U2,B0046AAF0AIDU01,00:14:17,00:14:17,3,6857,2022-04-17,Mercadão de Madureira,-22.87021,-43.33558,POINT (-43.33558 -22.87021)
14,14,3083BC0003X2,B0046AAF0AIDU01,00:15:48,00:15:48,4,7589,2022-04-17,Madureira / Manaceia,-22.876820000000002,-43.33587,POINT (-43.33587 -22.87682)
