,index,stop_id,trip_id,arrival_time,departure_time,stop_sequence,shape_dist_traveled,data_versao,stop_name,latitude,longitude,posicao
0,0,3104BC0001U2,B0042AABAAIDU01,00:00:00,00:00:00,1,0,2022-04-16,Galeão - Tom Jobim 2,-22.814510000000002,-43.24633,POINT (-43.24633 -22.81451)
1,1,3104BC0002U2,B0042AABAAIDU01,00:01:22,00:01:22,2,656,2022-04-16,Galeão - Tom Jobim 1,-22.81107,-43.251540000000006,POINT (-43.25154000000001 -22.81107)
2,2,3105BC0001P2,B0042AABAAIDU01,00:08:23,00:08:23,3,4024,2022-04-16,Terminal Aroldo Melodia :: Plat. B (BRT),-22.83946,-43.23977,POINT (-43.23977 -22.83946)
3,3,3157BC0001U2,B0042AABAAIDU01,00:10:18,00:10:18,4,4948,2022-04-16,Maré,-22.84696,-43.24373,POINT (-43.24373 -22.84696)
4,4,3041BC0002U2,B0042AABAAIDU01,00:13:04,00:13:04,5,6278,2022-04-16,Santa Luzia,-22.85471,-43.253640000000004,POINT (-43.25364 -22.85471)
5,5,3041BC0001U2,B0042AABAAIDU01,00:14:12,00:14:12,6,6820,2022-04-16,Cardoso Moraes,-22.85739,-43.258070000000004,POINT (-43.25807 -22.85739)
6,6,3042BC0001U2,B0042AABAAIDU01,00:16:47,00:16:47,7,8061,2022-04-16,Olaria,-22.8485,-43.265440000000005,POINT (-43.26544000000001 -22.8485)
7,7,3043BC0004U2,B0042AABAAIDU01,00:18:51,00:18:51,8,9053,2022-04-16,Ibiapina,-22.842389999999998,-43.27251,POINT (-43.27251 -22.84239)
8,8,3043BC0003U2,B0042AABAAIDU01,00:19:48,00:19:48,9,9506,2022-04-16,Penha I,-22.841379999999997,-43.276790000000005,POINT (-43.27679000000001 -22.84138)
9,9,3043BC0001U2,B0042AABAAIDU01,00:21:17,00:21:17,10,10223,2022-04-16,Pastor José Santos,-22.839029999999998,-43.2833,POINT (-43.2833 -22.83903)
10,10,3044BC0003U2,B0042AABAAIDU01,00:22:43,00:22:43,11,10910,2022-04-16,Guaporé,-22.8376,-43.28982,POINT (-43.28982 -22.8376)
11,11,3044BC0002U2,B0042AABAAIDU01,00:23:52,00:23:52,12,11458,2022-04-16,Praça do Carmo,-22.838729999999998,-43.29502,POINT (-43.29502 -22.83873)
12,12,3044BC0001U2,B0042AABAAIDU01,00:24:52,00:24:52,13,11942,2022-04-16,Pedro Taques,-22.841379999999997,-43.298770000000005,POINT (-43.29877 -22.84138)
13,13,3072BC0001U2,B0042AABAAIDU01,00:27:37,00:27:37,14,13259,2022-04-16,Vila Kosmos,-22.84965,-43.308,POINT (-43.308 -22.84965)
14,14,3073BC0002U2,B0042AABAAIDU01,00:28:45,00:28:45,15,13804,2022-04-16,Vicente de Carvalho,-22.85237,-43.31243,POINT (-43.31243 -22.85237)
