stop_id,stop_name,stop_desc,stop_lat,stop_lon,location_type,GrupoLatitude,GrupoLongitude,idModalSmtr,IDCorredor,IDTipoParada,IDTipoSentido,IDPropriedadeParada,Seletivado,BRS,IDTipoSinalizacao,IDConservacaoSinalizacao,IDTipoAbrigo,ConservacaoAbrigo,IDTipoAssento,IDTipoBaia,QualidadePavimento,IDTipoCalcada,IDLixeiras,IDRampa,braile,piso_tatil,elevador,n_vagas,n_cabines,AP,RA,Bairro,Observacoes,Foto,dataAtualizacao,endereco
100085,Estrada José Rucas próximo ao 1465-1499,,-22.84885,-43.27976,0
100086,Estrada José Rucas próximo ao 1202-1326,,-22.84853,-43.28204,0
100087,Estrada José Rucas próximo ao 1089-1099,,-22.84772,-43.2839,0
100088,Estrada José Rucas próximo ao 812,,-22.84572,-43.28554,0
100090,Estrada do Mato Alto próximo ao 2280-2300,,-22.95234,-43.57687,0
100091,Estrada do Mato Alto próximo ao 1371-1519,,-22.94472,-43.5767,0
100092,Estrada do Mato Alto próximo ao 1250-1266,,-22.94333,-43.57615,0
100093,Estrada do Mato Alto próximo ao 1074-1184,,-22.94236,-43.57583,0
100094,Estrada do Mato Alto próximo ao 360,,-22.93853,-43.57659,0
100095,Estrada do Monteiro próximo ao 1297-1299,,-22.92921,-43.57371,0
100096,Estrada do Monteiro próximo ao 1295,,-22.92867,-43.57337,0
100098,Estrada do Monteiro próximo ao 1076-1080,,-22.92686,-43.57192,0
100100,Estrada do Monteiro próximo ao 964,,-22.92512,-43.5702,0
100101,Estrada do Monteiro próximo ao 930-942,,-22.9248,-43.56966,0
100102,Estrada do Monteiro próximo ao 887,,-22.92406,-43.56841,0
100103,Estrada do Monteiro próximo ao 703-731,,-22.92359,-43.56657,0
100104,Estrada do Monteiro próximo ao 691-701,,-22.9232,-43.56551,0
100105,Estrada do Monteiro próximo ao 615-651,,-22.92179,-43.56375,0
100106,Estrada do Monteiro próximo ao 509,,-22.91879,-43.56325,0
100107,Rua Olinda Ellis próximo ao 125,,-22.90954,-43.55935,0
100108,Rua Olinda Ellis próximo ao 11-09,,-22.90672,-43.56079,0
100109,Condomínio do Shopping Campo Grande,,-22.90661,-43.56071,0
100110,Avenida Cesário de Melo próximo ao 2706-2778,,-22.90569,-43.55902,0
